Crdc.1.Ped.068:	126.64
Crdc.1.Ped.069:	127.95
Crdc.1.Ped.070:	134.90
Crdc.1.Ped.071:	112.10
Crdc.1.Ped.072:	129.94
Crdc.1.Ped.073:	137.18
Crdc.1.Ped.074:	128.60
Crdc.1.Ped.075:	126.03
Crdc.1.Ped.076:	129.85
Crdc.1.Ped.077:	134.08
Crdc.1.Ped.078:	142.95
Crdc.1.Ped.079:	122.04
Crdc.1.Ped.080:	122.41
Crdc.1.Ped.081:	127.21
Crdc.1.Ped.082:	115.65
Crdc.1.Ped.083:	119.69
Crdc.1.Ped.084:	129.20
Crdc.1.Ped.085:	113.98
Crdc.1.Ped.086:	118.85
Crdc.1.Ped.087:	115.93
Crdc.1.Ped.088:	120.31
Crdc.1.Ped.089:	121.86
Crdc.1.Ped.090:	120.86
Crdc.1.Ped.091:	120.50
Crdc.1.Ped.092:	121.73
Crdc.1.Ped.093:	116.90
Crdc.1.Ped.094:	122.82
Crdc.1.Ped.095:	117.45
Crdc.1.Ped.096:	153.77
Crdc.1.Ped.097:	152.61
Crdc.1.Ped.098:	146.13
Crdc.1.Ped.099:	174.64
Crdc.1.Ped.100:	162.66
Crdc.1.Ped.101:	160.00
Crdc.1.Ped.102:	127.03
Crdc.1.Ped.103:	158.40
Crdc.1.Ped.104:	155.73
Crdc.1.Ped.105:	141.76
Crdc.1.Ped.106:	152.18
Crdc.1.Ped.107:	143.77
Crdc.1.Ped.108:	162.21
Crdc.1.Ped.109:	144.07
Crdc.1.Ped.110:	153.67
Crdc.1.Ped.111:	159.87
Crdc.1.Ped.112:	142.42
Crdc.1.Ped.113:	144.12
Crdc.1.Ped.114:	131.07
Crdc.1.Ped.115:	153.90
Crdc.1.Ped.116:	139.49
Crdc.1.Ped.117:	140.41
Crdc.1.Ped.118:	141.15
Crdc.1.Ped.119:	138.35
Crdc.1.Ped.120:	134.16
Crdc.1.Ped.121:	135.23
Crdc.1.Ped.122:	137.29
Crdc.1.Ped.123:	142.35
Crdc.1.Ped.124:	135.65
Crdc.1.Ped.125:	134.43
Crdc.1.Ped.126:	136.15
Crdc.1.Ped.127:	119.19
Crdc.1.Ped.128:	120.01
Crdc.1.Ped.129:	120.61
Crdc.1.Ped.130:	125.67
Crdc.1.Ped.131:	122.80
Crdc.1.Ped.132:	144.10
Crdc.1.Ped.133:	125.78
Crdc.1.Ped.134:	121.66
Crdc.1.Ped.135:	127.95
Crdc.1.Ped.136:	144.31
Crdc.1.Ped.137:	129.45
Crdc.1.Ped.138:	128.12
Crdc.1.Ped.139:	139.95
Crdc.1.Ped.140:	122.03
Crdc.1.Ped.141:	130.96
Crdc.1.Ped.142:	139.76
Crdc.1.Ped.143:	127.42
Crdc.1.Ped.144:	86.06
Crdc.1.Ped.145:	104.47
Crdc.1.Ped.146:	103.81
Crdc.1.Ped.147:	96.14
Crdc.1.Ped.148:	105.61
Crdc.1.Ped.149:	109.08
Crdc.1.Ped.150:	105.38
Crdc.1.Ped.151:	104.27
Crdc.1.Ped.152:	120.33
Crdc.1.Ped.153:	102.79
Crdc.1.Ped.154:	102.68
Crdc.1.Ped.155:	106.69
Crdc.1.Ped.156:	103.09
Crdc.1.Ped.157:	99.97
Crdc.1.Ped.158:	109.14
Crdc.1.Ped.159:	94.58
Crdc.1.Ped.160:	103.27
Crdc.1.Ped.161:	112.36
Crdc.1.Ped.162:	85.00
Crdc.1.Ped.163:	103.07
Crdc.1.Ped.164:	98.71
Crdc.1.Ped.165:	92.06
Crdc.1.Ped.166:	103.02
Crdc.1.Ped.167:	90.44
Crdc.1.Ped.168:	99.45
Crdc.1.Ped.169:	105.46
Crdc.1.Ped.170:	95.75
Crdc.1.Ped.171:	102.79
Crdc.1.Ped.172:	100.02
